sector,bank,year,nii,roa,dep_ratio,prov_npa,total_staff,inflation,roa_risk,nii_opinc,loanratio,equityratio,log_ta,tagr,gdp_grth,gfce,roa_risk_5yr,govt_exp,repo,hhi_nii,diverse
Foreign,AB BANK LTD.,2005,3.68,2.87,34.2,0.01,26,3.77,2.2152,79.8265,31.862,65.4048,4.2257,-1.38,7.9234,10.3661,1.3432,13.69,6.0,0.6398,-10577.95
Foreign,AB BANK LTD.,2006,4.05,3.43,31.41,0.1,26,4.25,2.6474,73.5027,50.4594,67.9164,4.2118,-1.38,8.0607,9.8025,1.6053,13.58,6.5,0.607,-10033.55
Foreign,AB BANK LTD.,2007,4.85,3.42,34.53,0.18,27,5.8,2.6397,93.0902,46.5331,64.5749,4.2682,5.63,7.6608,9.8621,1.6006,14.29,7.0,0.5817,-16191.43
Foreign,AB BANK LTD.,2008,4.45,3.84,39.11,0.27,26,6.37,2.9638,75.2961,32.9401,59.7159,4.3674,9.93,3.0867,10.5385,1.7972,15.7,7.0,0.7086,-11338.01
Foreign,AB BANK LTD.,2009,7.6,4.75,38.31,0.53,27,8.35,3.6662,95.0,35.2948,60.301,4.3952,2.78,7.8619,11.4597,2.2231,15.82,5.0,0.7235,-12258.77
Foreign,AB BANK LTD.,2010,12.46,5.58,38.28,0.41,28,10.88,4.3068,137.5276,19.6295,60.9229,4.4771,8.19,8.4976,11.0076,2.6115,15.38,4.25,0.8695,-20239.53
Foreign,AB BANK LTD.,2011,15.96,4.53,47.2,0.29,30,11.99,3.4964,139.1456,61.3561,50.2431,4.7643,28.72,5.2413,11.0845,2.7309,14.93,6.5,0.8648,-20570.59
Foreign,AB BANK LTD.,2012,18.69,7.05,39.04,0.16,27,8.86,5.4414,130.1532,58.5328,58.5764,4.7406,-2.37,5.4564,10.6839,4.2501,14.18,8.5,0.8993,-18185.4
Foreign,AB BANK LTD.,2013,18.32,5.03,61.23,0.04,32,9.31,3.8823,121.4854,31.5075,37.8575,5.2896,54.91,6.3861,10.2952,3.0324,13.88,7.9,0.9095,-16857.39
Foreign,AB BANK LTD.,2014,22.3,4.22,59.22,0.39,31,11.06,3.2571,163.8501,31.008,39.6616,5.3348,4.52,7.4102,10.4409,2.5441,13.34,7.75,0.9599,-30266.52
Foreign,AB BANK LTD.,2015,26.09,5.13,57.34,0.72,31,6.65,3.9595,124.0019,29.7745,41.2235,5.4173,8.25,7.9962,10.4283,3.0927,13.0,8.0,0.8942,-16810.38
Foreign,AB BANK LTD.,2016,27.71,3.07,59.84,1.05,32,4.91,2.3695,131.0165,24.706,36.9,5.5282,11.09,8.2563,10.3085,1.2122,12.8,6.75,0.9015,-18620.22
Foreign,AB BANK LTD.,2017,28.32,3.48,56.19,4.2,32,4.95,2.686,159.4595,26.2607,40.4128,5.4919,-3.62,6.7954,10.7672,1.3741,12.53,6.25,0.7976,-27171.83
Foreign,AB BANK LTD.,2018,26.39,4.17,55.03,4.2,31,3.33,3.2185,145.0797,23.7847,41.984,5.3599,-13.2,6.533,10.7885,1.6465,12.2,6.0,0.7637,-22494.38
Foreign,AB BANK LTD.,2019,28.05,4.28,59.19,4.2,31,3.95,3.3034,136.8293,20.3645,38.9106,5.5224,16.25,4.0416,11.228,1.69,13.21,6.5,0.757,-20165.25
Foreign,AB BANK LTD.,2020,26.01,1.31,52.02,4.2,31,3.72,1.0111,358.2645,27.0488,45.8925,5.3152,-20.72,-7.9646,12.6008,0.5173,17.6,5.25,0.7547,-20165.25
Foreign,ABU DHABI COMMERCIAL BANK,2005,40.47,-2.57,85.22,31.66,40,3.77,-1.1349,28.3165,4.6057,3.6507,7.576,-104.03,7.9234,10.3661,-1.2028,13.69,6.0,0.7434,-11786.78
Foreign,ABU DHABI COMMERCIAL BANK,2006,7.61,0.35,66.54,0.28,38,4.25,0.1546,7.2483,17.2068,10.9963,6.5357,-104.03,8.0607,9.8025,0.1638,13.58,6.5,0.7987,-11303.82
Foreign,ABU DHABI COMMERCIAL BANK,2007,15.43,0.23,59.74,3.8,36,5.8,0.1016,35.7341,25.6515,9.7991,6.676,14.03,7.6608,9.8621,0.1076,14.29,7.0,0.7059,-12947.73
Foreign,ABU DHABI COMMERCIAL BANK,2008,6.74,3.96,71.76,-19.0,39,6.37,1.7487,15.0514,28.1065,18.5417,6.3573,-31.87,3.0867,10.5385,1.8533,15.7,7.0,0.3927,-21120.58
Foreign,ABU DHABI COMMERCIAL BANK,2009,5.32,2.4,77.6,-5.36,40,8.35,1.0598,13.31,20.9493,18.8103,6.4853,12.8,7.8619,11.4597,1.1232,15.82,5.0,0.3947,-14477.85
Foreign,ABU DHABI COMMERCIAL BANK,2010,3.28,1.13,77.41,-0.32,41,10.88,0.499,10.4759,22.5612,19.3812,6.5154,3.01,8.4976,11.0076,0.5289,15.38,4.25,0.5056,-17340.02
Foreign,ABU DHABI COMMERCIAL BANK,2011,3.51,1.12,59.52,-6.27,43,11.99,0.4946,11.0586,18.9972,14.6585,6.8556,34.02,5.2413,11.0845,0.6752,14.93,6.5,0.5633,-18313.13
Foreign,ABU DHABI COMMERCIAL BANK,2012,4.67,1.87,51.12,-4.43,47,8.86,0.8258,7.3986,23.715,25.3567,7.1061,25.06,5.4564,10.6839,1.1273,14.18,8.5,0.5064,-14562.69
Foreign,ABU DHABI COMMERCIAL BANK,2013,6.65,1.4,43.01,-3.09,51,9.31,0.6182,6.6673,31.7415,19.9907,7.4011,29.49,6.3861,10.2952,0.844,13.88,7.9,0.4716,-13940.68
Foreign,ABU DHABI COMMERCIAL BANK,2014,11.81,0.56,71.57,16.4,53,11.06,0.2473,8.6311,48.707,14.6919,7.7405,33.94,7.4102,10.4409,0.3376,13.34,7.75,0.443,-12025.55
Foreign,ABU DHABI COMMERCIAL BANK,2015,13.85,0.57,73.95,4.3,69,6.65,0.2517,8.4333,66.0924,13.2302,7.8848,14.43,7.9962,10.4283,0.3436,13.0,8.0,0.6012,-12372.84
Foreign,ABU DHABI COMMERCIAL BANK,2016,21.6,0.67,77.37,3.32,70,4.91,0.2959,12.8281,74.1334,13.6898,7.8984,1.37,8.2563,10.3085,0.2646,12.8,6.75,0.5736,-12266.44
Foreign,ABU DHABI COMMERCIAL BANK,2017,26.54,0.54,81.65,2.33,78,4.95,0.2385,14.3825,66.4954,11.0652,8.1534,25.49,6.7954,10.7672,0.2132,12.53,6.25,0.3955,-11746.99
Foreign,ABU DHABI COMMERCIAL BANK,2018,19.57,0.6,67.93,1.35,88,3.33,0.265,12.4689,59.4054,11.7304,8.1368,-1.66,6.533,10.7885,0.2369,12.2,6.0,0.4074,-13476.0
Foreign,ABU DHABI COMMERCIAL BANK,2019,5.7,-0.19,73.5,-9.68,80,3.95,-0.0839,3.8857,54.2527,14.0539,7.9418,-19.5,4.0416,11.228,-0.075,13.21,6.5,0.4074,-17190.48
Foreign,ABU DHABI COMMERCIAL BANK,2020,-5.78,-6.43,0.0,-13.43,30,3.72,-2.8395,-90.7378,54.2527,92.6023,5.7928,-19.5,-7.9646,12.6008,-2.5389,17.6,5.25,0.4074,-17190.48
Foreign,AMERICAN EXPRESS BANKING CORP.,2005,250.72,0.55,74.96,5.61,1586,3.77,0.2007,109.7387,49.0865,9.9699,8.0133,19.06,7.9234,10.3661,0.2574,13.69,6.0,0.6317,-25977.5
Foreign,AMERICAN EXPRESS BANKING CORP.,2006,303.55,1.45,61.83,5.61,1773,4.25,0.5292,115.9694,55.1845,10.9098,8.2039,19.06,8.0607,9.8025,0.6786,13.58,6.5,0.6357,-23255.53
Foreign,AMERICAN EXPRESS BANKING CORP.,2007,379.41,1.28,65.88,5.61,1982,5.8,0.4672,115.2696,39.3995,10.9579,8.3049,10.1,7.6608,9.8621,0.5991,14.29,7.0,0.4967,-21003.27
Foreign,AMERICAN EXPRESS BANKING CORP.,2009,334.79,-7.92,27.11,5.61,857,8.35,-2.8905,890.6358,57.1217,39.5342,7.104,-120.1,7.8619,11.4597,-3.7067,15.82,5.0,0.8007,-21003.27
Foreign,AMERICAN EXPRESS BANKING CORP.,2010,314.6,-4.24,38.82,-4.09,870,10.88,-1.5474,551.8331,59.6739,32.8187,7.2901,18.62,8.4976,11.0076,-1.9844,15.38,4.25,0.8506,-21003.27
Foreign,AMERICAN EXPRESS BANKING CORP.,2011,397.79,1.67,29.87,0.57,821,11.99,0.6095,908.8188,61.9953,35.9053,7.4611,17.1,5.2413,11.0845,1.0068,14.93,6.5,0.8517,-21003.27
Foreign,AMERICAN EXPRESS BANKING CORP.,2012,504.64,0.2,23.5,1.8,623,8.86,0.073,502.4793,69.088,29.311,7.6656,20.45,5.4564,10.6839,0.1206,14.18,8.5,0.8154,-21003.27
Foreign,AMERICAN EXPRESS BANKING CORP.,2013,567.32,-3.23,26.56,6.83,648,9.31,-1.1788,660.0582,67.3307,29.9361,7.84,17.44,6.3861,10.2952,-1.9472,13.88,7.9,0.8245,-21003.27
Foreign,AMERICAN EXPRESS BANKING CORP.,2014,653.69,-3.46,21.0,-4.21,755,11.06,-1.2628,543.8353,64.8033,23.2118,8.0944,25.44,7.4102,10.4409,-2.0859,13.34,7.75,0.8437,-21003.27
Foreign,AMERICAN EXPRESS BANKING CORP.,2015,720.41,-2.22,26.99,-3.41,733,6.65,-0.8102,665.7518,61.0122,26.3207,8.2472,15.28,7.9962,10.4283,-1.3383,13.0,8.0,0.8764,-21003.27
